date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:21:50	1411/1411	---M--	200	added ('OK')	image/png	etag:%2214d80879-583-596f453d1d380%22	http://yp.jyc.co.in/images/prettyPhoto/dark_rounded/btnNext.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/dark_rounded/btnNext.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:51	372480/372480	---M--	200	added ('OK')	application/pdf	etag:%2214d80125-5af00-597dadd2e05f5%22	http://yp.jyc.co.in/downloads/Final%20Allotments.pdf	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/downloads/Final%20Allotments.pdf	(from http://yp.jyc.co.in/)
17:21:51	1442/1442	---M--	200	added ('OK')	image/png	etag:%2214d8087d-5a2-596f453d1d380%22	http://yp.jyc.co.in/images/prettyPhoto/dark_rounded/btnPrevious.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/dark_rounded/btnPrevious.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:52	2545/2545	---M--	200	added ('OK')	image/gif	etag:%2214d80889-9f1-596f453f05800%22	http://yp.jyc.co.in/images/prettyPhoto/dark_rounded/loader.gif	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/dark_rounded/loader.gif	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:52	2545/2545	---M--	200	added ('OK')	image/gif	etag:%2214d808b3-9f1-596f453d1d380%22	http://yp.jyc.co.in/images/prettyPhoto/dark_square/loader.gif	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/dark_square/loader.gif	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:53	3507/3507	---M--	200	added ('OK')	image/png	etag:%2214d808b9-db3-596f453d1d380%22	http://yp.jyc.co.in/images/prettyPhoto/dark_square/sprite.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/dark_square/sprite.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:53	1411/1411	---M--	200	added ('OK')	image/png	etag:%2214d808a6-583-596f453b34f00%22	http://yp.jyc.co.in/images/prettyPhoto/dark_square/btnNext.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/dark_square/btnNext.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:53	1442/1442	---M--	200	added ('OK')	image/png	etag:%2214d808a8-5a2-596f453d1d380%22	http://yp.jyc.co.in/images/prettyPhoto/dark_square/btnPrevious.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/dark_square/btnPrevious.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:54	1411/1411	---M--	200	added ('OK')	image/png	etag:%2214d809ac-583-596f4531ab880%22	http://yp.jyc.co.in/images/prettyPhoto/light_square/btnNext.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/light_square/btnNext.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:54	3507/3507	---M--	200	added ('OK')	image/png	etag:%2214d809b5-db3-596f45357c180%22	http://yp.jyc.co.in/images/prettyPhoto/light_square/sprite.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/light_square/sprite.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
